pTHatMin = 50, #Events = 100, Centrality = 0, Alpha = 0.35, Kappa = 10 Tc= 0
EVENT# = 0, PARTICLES# = 32, X = 2.62739, Y = 0.759099, B = 0.359228
0 137.007 -30.8556 116.103 182.217 135.865 -29.9464 115.012 180.51 4.13574e-06 20 2 ps 115 0
1 -13.0321 5.25348 -24.1499 27.9402 0 0 0 0 3.37175e-07 21 21 ps 113 108
2 -10.0896 8.45508 -10.0912 16.5867 0 0 0 0 4.76837e-07 22 21 ps 105 117
3 -23.608 -1.89572 -36.1953 43.2554 0 0 0 0 8.25906e-07 23 21 ps 104 107
4 -34.4318 13.0967 -35.87 51.4172 0 0 0 0 4.76837e-07 26 21 ps 106 103
5 -38.1297 5.26335 -65.0846 75.6146 0 0 0 0 9.53674e-07 23 21 ps 107 105
6 -14.5288 2.39432 -16.7883 22.3308 0 0 0 0 0 27 21 ps 108 104
7 3.65178 -1.20859 0.34738 3.86223 0 0 0 0 5.92544e-08 28 21 ps 102 109
8 0.00616297 0.732668 0.395655 0.832696 0 0 0 0 2.63418e-08 24 21 ps 114 116
9 0.593821 -1.16258 -0.187962 1.31892 0 0 0 0 4.43137e-08 25 21 ps 111 118
10 -1.22353 -1.04605 -21.4388 21.4992 0 0 0 0 4.76837e-07 -1 21 isr 110 112
11 -18.1032 3.32733 -32.878 37.6797 0 0 0 0 4.76837e-07 21 21 ps 101 113
12 0.157154 -0.695634 -0.691251 0.993193 0 0 0 0 2.23517e-08 29 21 ps 103 114
13 16.9221 -2.4858 13.4547 21.7615 16.7954 -2.30428 13.7413 21.8224 3.76973e-07 20 21 ps 109 115
14 -2.34655 1.08135 -2.42377 3.54264 0 0 0 0 6.664e-08 24 21 ps 116 110
15 -1.49361 -0.00289105 -1.08576 1.84655 0 0 0 0 2.10734e-08 22 21 ps 117 106
16 -1.15053 0.699796 -1.24618 1.83477 0 0 0 0 3.94248e-08 25 21 ps 118 102
17 0.40488 -2.08145 1181.65 1181.65 0.40488 -2.08145 1181.65 1181.65 0 0 2101 rem 0 101
18 -0.464584 0.798821 -878.985 878.986 -0.464584 0.798821 -878.985 878.986 0 0 2203 rem 0 111
19 -0.141398 0.331463 -184.832 184.832 -0.141398 0.331463 -184.832 184.832 0 0 1 rem 112 0
20 153.929 -33.3414 129.558 203.979 152.498 -32.6132 127.788 201.656 4.01164 28 2 ps 109 0
21 -31.1352 8.58081 -57.028 65.6199 -30.1214 9.13969 -52.825 61.5754 3.27829 27 21 ps 101 108
22 -11.5832 8.45219 -11.1769 18.4333 -12.4824 6.90597 -11.1633 18.3654 3.04178 26 21 ps 105 106
23 -61.7377 3.36764 -101.28 118.87 -61.7377 3.36764 -101.28 118.87 7.04282 30 21 ps 104 105
24 -2.34038 1.81402 -2.02812 4.37533 -2.34038 1.81402 -2.02812 4.37533 2.50244 29 21 ps 114 110
25 -0.556705 -0.462789 -1.43414 3.15369 -0.556705 -0.462789 -1.43414 3.15369 2.71384 -1 21 isr 111 102
26 -46.015 21.5488 -47.0469 69.8504 -46.015 21.5488 -47.0469 69.8504 9.16209 30 21 ps 105 103
27 -45.6641 10.9751 -73.8162 87.9507 -45.6641 10.9751 -73.8162 87.9507 8.9906 31 21 ps 101 104
28 157.581 -34.55 129.905 207.841 157.581 -34.55 129.905 207.841 17.2303 -1 2 hs 102 0
29 -2.18323 1.11838 -2.71937 5.36853 -2.18323 1.11838 -2.71937 5.36853 3.92541 -1 21 isr 103 110
30 -107.753 24.9165 -148.327 188.72 -107.753 24.9165 -148.327 188.72 37.1906 31 21 ps 104 103
31 -153.417 35.8916 -222.143 276.671 -153.417 35.8916 -222.143 276.671 48.7295 -1 21 hs 101 103
EVENT# = 1, PARTICLES# = 32, X = 0.842205, Y = 6.00526, B = 2.66117
0 104.85 29.6141 151.617 186.704 104.687 29.9954 154.097 188.693 5.11852e-06 19 1 ps 113 0
1 -42.5703 -13.7782 63.3184 77.5326 -35.6714 -10.329 49.8922 62.1962 1.65181e-06 20 21 ps 105 116
2 -0.0541303 -1.94146 7.66487 7.90712 0 0 0 0 1.46001e-07 27 21 ps 108 107
3 -1.68926 -3.88065 7.09495 8.26144 0 0 0 0 2.52881e-07 28 21 ps 104 110
4 -19.042 2.36334 29.505 35.1956 -13.9941 2.94137 23.0329 27.1109 1.2157e-06 24 21 ps 106 103
5 -1.2846 -2.46468 6.60533 7.16626 0 0 0 0 1.88486e-07 21 21 ps 107 112
6 -8.85789 -3.99187 66.6162 67.321 0 0 0 0 2.6974e-06 22 21 ps 114 115
7 -1.71994 -0.993677 3.58511 4.09861 0 0 0 0 4.04258e-07 -1 21 isr 109 101
8 -2.44704 0.250554 0.659914 2.54681 0 0 0 0 1.29048e-08 23 21 ps 110 117
9 -4.97923 -1.95042 9.49349 10.896 0 0 0 0 2.38419e-07 25 21 ps 111 105
10 -3.36097 1.68024 9.53033 10.2443 -2.37753 1.63285 8.15392 8.649 2.06477e-07 21 21 ps 112 104
11 -0.0241078 -0.716995 1.62838 1.7794 0 0 0 0 6.32203e-08 19 21 ps 102 113
12 -5.4522 -2.0013 55.8428 56.144 0 0 0 0 9.53674e-07 26 21 ps 101 114
13 -0.35471 -1.19413 7.73146 7.83117 0 0 0 0 2.2302e-07 22 21 ps 115 108
14 -11.9256 -2.15956 17.5677 21.3427 -5.84424 -1.00249 7.45259 9.52372 2.38419e-07 20 21 ps 116 106
15 -0.850627 -0.696735 2.39415 2.63457 0 0 0 0 5.96046e-08 23 21 ps 117 111
16 -0.410895 -0.567923 905.765 905.766 -0.410895 -0.567923 905.765 905.766 0 0 2203 rem 0 109
17 -0.630534 1.49142 -163.368 163.376 -0.630534 1.49142 -163.368 163.376 0 0 2 rem 103 0
18 0.804044 0.938007 -1183.25 1183.25 0.804044 0.938007 -1183.25 1183.25 0 0 2101 rem 0 102
19 104.826 28.8971 153.245 188.483 104.826 28.8971 153.245 188.483 14.7711 -1 1 hs 102 0
20 -54.4959 -15.9378 80.8862 98.8752 -53.7338 -13.8682 78.5238 96.203 3.1488 24 21 ps 105 106
21 -4.64557 -0.784434 16.1357 17.4106 -4.64557 -0.784434 16.1357 17.4106 4.53571 29 21 ps 107 104
22 -9.2126 -5.18599 74.3477 75.1522 -9.09147 -5.25438 79.4126 80.1567 2.91646 26 21 ps 114 108
23 -3.29766 -0.446181 3.05407 5.18139 -3.29766 -0.446181 3.05407 5.18139 2.53885 25 21 ps 110 111
24 -73.5379 -13.5745 110.391 134.071 -73.5379 -13.5745 110.391 134.071 14.0239 30 21 ps 105 103
25 -8.27689 -2.3966 12.5476 16.0774 -8.27689 -2.3966 12.5476 16.0774 5.17601 28 21 ps 110 105
26 -14.6648 -7.18729 130.19 131.296 -14.6648 -7.18729 130.19 131.296 4.7344 27 21 ps 101 108
27 -14.7189 -9.12875 137.855 139.203 -14.7189 -9.12875 137.855 139.203 8.57208 29 21 ps 101 107
28 -9.96615 -6.27724 19.6425 24.3388 -9.96615 -6.27724 19.6425 24.3388 8.23548 30 21 ps 104 105
29 -19.3645 -9.91319 153.991 156.614 -19.3645 -9.91319 153.991 156.614 18.4777 31 21 ps 101 104
30 -83.5041 -19.8517 130.034 158.41 -83.5041 -19.8517 130.034 158.41 28.5977 31 21 ps 104 103
31 -102.869 -29.7649 284.025 315.023 -102.869 -29.7649 284.025 315.023 84.2728 -1 21 hs 101 103
EVENT# = 2, PARTICLES# = 49, X = 0.323236, Y = -3.41806, B = 3.10296
0 39.0695 -28.8722 388.932 391.954 36.2101 -29.4725 371.453 374.376 4.59287e-06 28 1 ps 111 0
1 -37.6874 31.7335 24.6093 55.0724 -31.8966 26.3273 21.1843 46.4678 1.50789e-06 29 21 ps 128 130
2 -1.08698 9.89777 -2.82602 10.3505 0 0 0 0 2.59811e-07 30 21 ps 112 118
3 2.32949 -12.4266 -154.317 154.834 0.382793 -8.5958 -96.7159 97.0979 3.8147e-06 31 21 ps 116 110
4 -4.21114 8.32555 2.99261 9.79817 0 0 0 0 1.88486e-07 32 21 ps 106 120
5 14.455 -10.6512 96.9278 98.5769 9.60943 -5.98453 54.6946 55.8539 2.6974e-06 39 21 ps 119 107
6 0.395898 0.374401 13.8949 13.9145 0 0 0 0 5.05762e-07 33 -3 ps 0 108
7 -5.01192 3.2468 2.92388 6.64908 0 0 0 0 2.92002e-07 45 21 ps 104 109
8 3.31911 0.288329 -37.4084 37.5565 0 0 0 0 1.16801e-06 34 21 ps 110 127
9 -2.81452 3.98648 -204.416 204.474 0 0 0 0 4.74987e-06 40 1 ps 117 0
10 27.514 -27.1055 334.811 337.032 24.0245 -24.6934 307.747 309.67 3.8147e-06 28 21 ps 107 111
11 -2.61924 3.7082 -3.93194 6.00594 0 0 0 0 1.93141e-07 35 21 ps 125 112
12 1.85973 -0.259605 0.799164 2.06726 0 0 0 0 8.76037e-08 36 -1 ps 0 113
13 2.11478 -6.91823 52.9146 53.4078 1.46682 -4.99707 45.8081 46.1039 1.09003e-06 36 1 ps 102 0
14 -1.82791 -5.1039 -90.666 90.828 0 0 0 0 3.56832e-06 31 21 ps 105 116
15 -0.672058 1.25103 -8.19958 8.32165 0 0 0 0 6.0785e-07 37 21 ps 103 123
16 0.955434 2.41343 -2.77357 3.79871 0 0 0 0 7.30005e-08 30 21 ps 118 103
17 -1.11974 -2.66943 15.8912 16.1604 0 0 0 0 3.76973e-07 33 3 ps 113 0
18 1.24445 -1.55397 6.90547 7.18672 0 0 0 0 3.15398e-07 38 21 ps 108 129
19 -2.78863 1.36809 0.594663 3.16256 0 0 0 0 2.48228e-07 32 21 ps 120 101
20 0.643575 -0.71052 -28.2906 28.3068 0 0 0 0 1.01152e-06 37 21 ps 123 117
21 -0.512168 -0.168309 0.541394 0.764036 0 0 0 0 1.82501e-08 35 21 ps 109 125
22 -0.523456 1.00482 -2.08939 2.37681 0 0 0 0 7.30005e-08 34 21 ps 127 102
23 -4.2312 3.27146 3.36924 6.32118 0 0 0 0 1.88486e-07 41 21 ps 101 128
24 3.49835 -1.60769 24.9378 25.2333 0 0 0 0 5.84004e-07 38 21 ps 129 119
25 -31.9323 29.3167 22.1072 48.6608 -27.0361 24.3462 19.0289 41.058 1.65181e-06 29 21 ps 130 104
26 -0.413685 -1.16571 339.474 339.477 -0.413685 -1.16571 339.474 339.477 0 0 2203 rem 0 106
27 0.0531249 -0.973657 -797.708 797.709 0.0531249 -0.973657 -797.708 797.709 0 0 2203 rem 0 105
28 66.5834 -55.9777 723.743 728.986 65.9536 -56.7169 715.823 721.123 7.02168 47 1 ps 107 0
29 -69.6197 61.0502 46.7165 103.733 -58.9327 50.6735 40.2132 87.5258 2.02799 41 21 ps 128 104
30 -0.131549 12.3112 -5.59959 14.1492 -0.131549 12.3112 -5.59959 14.1492 4.15488 42 21 ps 112 103
31 0.501585 -17.5305 -244.983 245.662 0.501585 -17.5305 -244.983 245.662 5.05703 43 21 ps 105 110
32 -6.99978 9.69364 3.58727 12.9607 -6.99978 9.69364 3.58727 12.9607 3.48547 -1 21 isr 106 101
33 -0.723846 -2.29503 29.786 30.0749 -0.723846 -2.29503 29.786 30.0749 3.39165 44 21 ps 113 108
34 2.79565 1.29315 -39.4978 39.9333 2.79565 1.29315 -39.4978 39.9333 5.01028 43 21 ps 110 102
35 -3.13141 3.53989 -3.39054 6.76998 -3.13141 3.53989 -3.39054 6.76998 3.46413 42 21 ps 109 112
36 3.97451 -7.17783 53.7137 55.4751 3.97451 -7.17783 53.7137 55.4751 11.1804 44 21 ps 102 113
37 -0.0284829 0.540511 -36.4902 36.6285 -0.0284829 0.540511 -36.4902 36.6285 3.13367 40 21 ps 103 117
38 4.74279 -3.16166 31.8433 32.42 4.95727 -2.60059 34.0442 34.5655 2.13793 39 21 ps 108 119
39 19.1978 -13.8129 128.771 130.997 19.1978 -13.8129 128.771 130.997 4.33899 46 21 ps 108 107
40 -2.843 4.52699 -240.906 241.103 -2.843 4.52699 -240.906 241.103 8.13515 -1 1 isr 103 0
41 -73.8509 64.3217 50.0858 110.054 -67.8989 57.6923 47.565 101.05 3.48568 48 21 ps 101 104
42 -3.26296 15.8511 -8.99014 20.9192 -3.26296 15.8511 -8.99014 20.9192 9.74103 45 21 ps 109 103
43 3.29724 -16.2374 -284.481 285.595 3.29724 -16.2374 -284.481 285.595 18.995 -1 21 isr 105 102
44 3.25067 -9.47286 83.4998 85.55 3.25067 -9.47286 83.4998 85.55 15.6937 46 21 ps 102 108
45 -8.27489 19.0979 -6.06625 27.5683 -8.27489 19.0979 -6.06625 27.5683 17.0296 48 21 ps 104 103
46 22.4485 -23.2858 212.271 216.547 22.4485 -23.2858 212.271 216.547 28.0618 47 21 ps 102 107
47 89.0319 -79.2635 936.014 945.533 89.0319 -79.2635 936.014 945.533 60.8314 -1 1 hs 102 0
48 -82.1258 83.4196 44.0195 137.623 -82.1258 83.4196 44.0195 137.623 57.4353 -1 21 hs 101 103
EVENT# = 3, PARTICLES# = 27, X = -1.21433, Y = 2.42536, B = 3.08209
0 5.46051 7.8343 -60.6645 61.4124 0.947444 1.2398 -8.55178 8.69313 2.48805e-06 18 2 ps 101 0
1 -71.168 -73.2572 -96.8048 140.722 -66.4745 -63.3941 -87.582 126.919 8.56404e-07 -1 2 hs 102 0
2 5.2217 6.50453 -1.42869 8.46264 0 0 0 0 1.3328e-07 19 21 ps 116 113
3 2.45692 1.08403 0.231038 2.69536 0 0 0 0 6.00685e-08 20 21 ps 104 112
4 -3.21252 2.82446 43.1495 43.361 0 0 0 0 2.07848e-06 23 21 ps 106 109
5 -0.421668 3.89863 3.38901 5.1829 0 0 0 0 1.63234e-07 24 21 ps 107 105
6 -1.41928 -0.834989 -4.3074 4.61142 0 0 0 0 5.96046e-08 21 21 ps 114 108
7 59.8764 48.773 -594.195 599.193 55.1183 44.3129 -525.543 530.28 1.89012e-05 18 -2 ps 0 103
8 0.212538 -0.732272 3.19309 3.28287 0 0 0 0 1.68587e-07 22 21 ps 109 115
9 0.0856201 2.68311 -10.7211 11.0521 0 0 0 0 3.57628e-07 -1 21 isr 110 101
10 2.30262 -0.823208 1.02094 2.64991 0 0 0 0 6.32203e-08 20 21 ps 112 107
11 2.88308 1.20933 -0.435344 3.15661 0 0 0 0 4.0467e-08 25 21 ps 113 104
12 -0.118802 1.73337 -3.81449 4.19154 0 0 0 0 2.92002e-07 21 21 ps 103 114
13 -2.54338 -2.55605 4.24294 5.56818 0 0 0 0 2.06477e-07 22 21 ps 115 102
14 -0.460844 0.708046 -0.805249 1.1671 0 0 0 0 1.82501e-08 19 21 ps 108 116
15 0.620568 0.663382 1001.26 1001.26 0.620568 0.663382 1001.26 1001.26 0 0 2103 rem 0 106
16 1.10837 0.89516 289.361 289.365 1.10837 0.89516 289.361 289.365 0 0 2 rem 105 0
17 -0.883839 -0.607575 -572.667 572.669 -0.883839 -0.607575 -572.667 572.669 0 0 2101 rem 0 110
18 65.3369 56.6073 -654.86 660.605 65.3369 56.6073 -654.86 660.605 9.20544 -1 21 hs 101 103
19 4.76085 7.21258 -2.23394 9.62974 4.76085 7.21258 -2.23394 9.62974 3.61309 25 21 ps 108 113
20 4.75953 0.260823 1.25198 5.34527 4.75953 0.260823 1.25198 5.34527 2.0696 24 21 ps 104 107
21 -1.53808 0.898381 -8.12189 8.80297 -1.53808 0.898381 -8.12189 8.80297 2.89039 26 21 ps 103 108
22 -2.33084 -3.28832 7.43603 8.85106 -2.33084 -3.28832 7.43603 8.85106 2.60782 23 21 ps 109 102
23 -5.54337 -0.463861 50.5855 52.212 -5.54337 -0.463861 50.5855 52.212 11.673 -1 21 isr 106 102
24 4.33787 4.15946 4.64099 10.5282 4.33787 4.15946 4.64099 10.5282 7.29284 -1 21 isr 104 105
25 7.64394 8.42191 -2.66928 12.7863 7.64394 8.42191 -2.66928 12.7863 5.19686 26 21 ps 108 104
26 6.10586 9.32029 -10.7912 21.5893 6.10586 9.32029 -10.7912 21.5893 15.0167 -1 21 isr 103 104
EVENT# = 4, PARTICLES# = 54, X = -1.08042, Y = -4.24167, B = 1.78533
0 6.53361 -4.44145 10.3213 12.9979 4.07266 -2.55981 5.25121 7.12234 3.76973e-07 31 21 ps 106 123
1 -18.0429 45.1738 80.1492 93.7556 -14.2494 35.9877 63.9029 74.7106 1.65181e-06 40 21 ps 114 119
2 14.1762 -19.374 48.587 54.1942 13.2791 -15.7005 39.8916 44.8746 3.30362e-06 32 21 ps 125 115
3 -7.07817 -20.8249 -330.954 331.684 -7.88884 -19.9771 -327.495 328.198 6.09206e-06 -1 1 isr 103 0
4 5.28169 -18.8146 13.1852 23.574 5.50063 -18.2722 13.0125 23.0967 3.37175e-07 33 21 ps 110 127
5 0.266593 5.99671 -17.7313 18.7198 0 0 0 0 3.37175e-07 41 21 ps 117 103
6 -8.71622 -3.78581 28.851 30.3757 -5.3902 -1.18076 17.2926 18.1516 4.76837e-07 34 21 ps 120 102
7 1.82468 1.42501 7.99338 8.32191 0 0 0 0 2.79571e-07 47 21 ps 101 122
8 4.97625 -1.8318 9.0689 10.5054 0 0 0 0 3.95372e-07 42 21 ps 104 111
9 -0.961331 -4.51808 1.76167 4.94375 -0.0754864 -2.95504 1.66533 3.39283 6.664e-08 35 21 ps 116 110
10 5.77528 -7.14955 9.13234 12.9564 3.57183 -4.22527 4.39956 7.06873 3.95372e-07 43 21 ps 112 106
11 -9.54348 16.9696 36.3985 41.2813 0 0 0 0 4.76837e-07 36 3 ps 118 0
12 -2.57444 -0.296877 100.673 100.707 -0.568372 -0.19896 34.4135 34.4188 2.48805e-06 -1 2 isr 109 0
13 -20.173 44.6244 84.0921 97.3128 -2.26151 5.04497 9.56791 11.0503 1.3487e-06 48 21 ps 113 114
14 4.47505 -4.69903 18.0259 19.1583 1.11751 -2.00851 5.49128 5.9529 4.12953e-07 44 21 ps 115 108
15 1.40066 -0.0601568 2.55906 2.91792 0 0 0 0 7.30005e-08 35 21 ps 111 116
16 -2.57922 10.756 18.7237 21.7525 0 0 0 0 9.23391e-07 45 -3 ps 0 113
17 2.05244 1.42679 -1.61577 2.9764 0 0 0 0 2.24014e-07 37 21 ps 107 121
18 -0.641189 4.57675 8.86913 10.001 0 0 0 0 1.19209e-07 36 21 ps 102 118
19 -11.6011 27.4724 47.9196 56.4412 -8.88746 24.487 40.888 48.4813 1.16801e-06 38 21 ps 129 104
20 -1.36741 -1.09552 2.33299 2.91767 0 0 0 0 5.96046e-08 34 21 ps 108 120
21 -0.312157 -0.54938 -0.641248 0.900255 0 0 0 0 0 37 21 ps 121 117
22 1.53269 0.743773 8.31208 8.48487 0 0 0 0 2.06477e-07 39 21 ps 126 128
23 13.3067 -7.69396 26.1264 30.3126 10.6779 -6.22348 21.401 24.7155 6.7435e-07 31 21 ps 123 107
24 -0.157891 -0.0894728 -0.0604697 0.191289 0 0 0 0 2.28506e-08 32 21 ps 105 125
25 1.02505 1.6822 13.1501 13.2968 0 0 0 0 2.92002e-07 46 21 ps 122 126
26 24.3789 -72.0736 54.6798 93.6953 25.1622 -69.9145 53.9046 91.7982 1.3487e-06 33 21 ps 127 112
